branch_id,time_s,spectral_abscissa_s_inv,numerical_abscissa_s_inv,dominant_frequency_s_inv,dominant_mode_condition_number,dominant_right_constitutive_fraction,dominant_left_constitutive_fraction,adjacent_leader_rotation_deg,adjacent_commutator
onset_x,2.9375000000000003e-06,439824.8209610218,105112273327.1976,2.271196247036203e-10,556.8854698290112,0.9993041353265203,0.9999996387859096,0.284359560026158,2.4533090200058914e-07
onset_x,3.125e-06,373159.3369819827,105108409504.07164,2.7910891381016217e-10,564.9947335179679,0.9994894611534059,0.9999997376528674,0.22382056311386783,1.914239569475496e-07
onset_x,3.3125e-06,318891.2238181844,105105371732.66516,2.145434015672927e-10,576.0401396578,0.9996179302446656,0.9999998068129075,0.18242875531348074,1.5469782011704233e-07
onset_x,3.5000000000000004e-06,273408.136227423,105103144492.74605,1.1874001463209458e-09,590.9952855069416,0.9997101049828088,0.9999998569225612,0.1531486168426463,1.2877293133908118e-07
onset_x,3.6875000000000007e-06,234302.78759588028,105101716209.69333,8.41756621964171e-10,611.2930881562032,0.9997780461745673,0.9999998941919234,0.13197460743646258,1.0997892382899074e-07
onset_x,3.875000000000001e-06,199890.31316084517,105101078021.83798,4.187182527922507e-10,639.1645460678745,0.9998291792375782,0.9999999224245362,0.1165296999412148,9.60749711766298e-08
onset_x,4.0625000000000005e-06,168929.19387900896,105101222953.43562,3.5873976012007536e-10,678.3394296370648,0.999868256407186,0.9999999440503012,0.10540861937543734,8.562462620113513e-08
onset_x,4.25e-06,140440.82922086903,105102145417.36726,1.965517904684933e-10,735.6727385494302,0.9998984140913898,0.9999999606856255,0.0979077465105866,7.766944519926566e-08
onset_x,4.4374999999999994e-06,113562.8888232468,105103840874.20076,4.424519897162461e-09,825.5924040542153,0.9999217713005283,0.9999999734595211,0.094101327300574,7.154870887628731e-08
onset_x,4.625e-06,87354.07660797205,105106305547.9097,4.780211781962862e-10,985.7949889717148,0.9999397831221847,0.999999983226718,0.09577256859897289,6.679504070599927e-08
onset_x,4.8125e-06,60238.74191592641,105109536301.22948,1.2648911251744721e-08,1366.5743871029042,0.9999534685127731,0.999999990769852,0.11230513994243925,6.307111735513517e-08
onset_x,5e-06,23726.60282697531,105113530477.2986,8.822414755546467e-08,6027.086922965749,0.9999639447292524,0.9999999977954024,0.2876868802536642,6.012978561199336e-08
onset_x,5.3125e-06,2214.141107675308,105121864858.18213,7.386061109047495e-11,1190.2105433293293,0.9999658688295606,0.9999999999989979,1.4405848609477008,9.714964516723858e-08
onset_x,5.625e-06,507.65024376820867,105132316331.68498,5.5458656796639296e-11,2030.3628516648164,0.999965932074725,0.9999999999999984,0.9151503138865955,9.106578137080689e-08
onset_x,5.9375e-06,10.532098174120527,105144866902.36203,1.210576941436333e-10,105928.32303929172,0.9999992282262914,1.0000000000000004,51.14638818595208,8.780450135064161e-08
onset_x,6.25e-06,10.294429337770332,105159511085.41513,2.837228507328158e-10,113333.12070046908,0.9999994116283832,1.0,0.7742055566285279,8.542110935996679e-08
onset_x,6.5625e-06,9.993411473776794,105176244433.43925,8.724279998241145e-11,121753.15849918775,0.9999995526923099,1.0,0.6818689425166201,8.364843476702225e-08
onset_x,6.875e-06,9.71053255172132,105195063306.44939,1.7778716489411572e-11,130174.52562871615,0.9999996555585021,1.0,0.5680458779102022,8.230084522847203e-08
onset_x,7.187500000000001e-06,9.452012476899897,105215964676.64983,1.3545432540289521e-11,138462.48574771362,0.999999731251452,1.0,0.47451663093411456,8.125406199875606e-08
onset_x,7.500000000000001e-06,9.216916831188005,105238946032.81088,1.3144062344441586e-12,146572.13084808787,0.9999997877363106,1.0,0.39949534561103145,8.042342245037327e-08
onset_x,7.8125e-06,9.003091588537389,105264005261.80104,8.533317695820231e-12,154481.53368482247,0.9999998304822034,1.0,0.3391299393164578,7.975036568370622e-08
onset_x,8.125000000000001e-06,8.808291787455433,105291140583.81516,1.692988905078753e-11,162177.67778596116,0.99999986325722,1.0,0.2901618255801,7.919371638676605e-08
onset_x,8.4375e-06,8.630454887964374,105320350487.86975,2.471706906026115e-11,169652.04262131362,0.9999998886911396,1.0000000000000004,0.25008055161582166,7.872405020668928e-08
onset_x,8.750000000000001e-06,8.46775613508379,105351633696.41876,1.0395547013782982e-11,176898.81601070001,0.9999999086464523,1.0,0.21698368684608693,7.832009350210301e-08
onset_x,9.062500000000002e-06,8.318597023596993,105384989144.27357,1.687758373832208e-11,183914.0228864946,0.9999999244614829,1.0,0.1894267340865936,7.7968800325071e-08
onset_x,9.375e-06,8.181589598884301,105420415897.36365,6.093663751212471e-11,190695.06996407776,0.9999999371112026,1.0,0.16630480580612467,7.765697700609635e-08
