case_id,shear,time_s,cauchy_shear_Pa,first_piola_shear_Pa,temperature_K,temperature_rise_K,plastic_work_J_m3,generated_heat_J_m3,stored_energy_J_m3
rate_1p3e4_T293,0.07500000000000001,5.76923076923077e-06,536500041.1659149,536500041.1659149,305.59092564963413,12.440925649634153,32870180.80695195,29583162.726256754,3287018.080695194
rate_1p3e4_T293,0.08750000000000001,6.730769230769232e-06,534659229.8830413,534659229.8830413,308.1458144581015,14.995814458101506,39620454.81718503,35658409.33546656,3962045.4817185034
rate_1p3e4_T293,0.1,7.692307692307692e-06,533178285.31442785,533178285.31442785,310.69079375347906,17.54079375347908,46344546.894004405,41710092.20460395,4634454.689400443
rate_1p3e4_T293,0.125,9.615384615384616e-06,531080090.600104,531080090.600104,315.7573802973524,22.60738029735245,59730979.74163488,53757881.76747133,5973097.974163489
rate_1p3e4_T293,0.15000000000000002,1.153846153846154e-05,529147893.34082615,529147893.34082615,320.80342974492675,27.65342974492677,73063151.5087311,65756836.35785786,7306315.150873104
rate_1p3e4_T293,0.17500000000000002,1.3461538461538463e-05,527494403.1671007,527494403.1671007,325.831332743581,32.68133274358104,86347378.52687524,77712640.67418733,8634737.852687517
rate_1p3e4_T293,0.2,1.5384615384615384e-05,525940550.33401257,525940550.33401257,330.8436030209865,37.69360302098653,99590302.31819911,89631272.08637865,9959030.231819903
rate_1p3e4_T293,0.275,2.1153846153846157e-05,520977620.67548645,520977620.67548645,345.7958744748694,52.6458744748694,139095712.1249209,125186140.91242824,13909571.212492088
rate_1p3e4_T293,0.35,2.692307692307692e-05,516260302.2080569,516260302.2080569,360.6141898979739,67.46418989797394,178247196.5826888,160422476.92441955,17824719.65826892
rate_1p3e4_T293,0.425,3.269230769230769e-05,511172584.5594699,511172584.5594699,375.29278802268954,82.14278802268956,217029533.8411839,195326580.45706487,21702953.38411844
rate_1p3e4_T293,0.5,3.846153846153846e-05,505768623.79117924,505768623.79117924,389.82188791759035,96.67188791759037,255416881.69272265,229875193.52344975,25541688.169272322
rate_1p3e4_T293,0.625,4.807692307692308e-05,496282715.20880896,496282715.20880896,413.684381391267,120.534381391267,318463997.08220637,286617597.3739849,31846399.70822068
rate_1p3e4_T293,0.75,5.769230769230769e-05,486488009.85691035,486488009.85691035,437.0876719178778,143.93767191787782,380297851.9537618,342268066.75838554,38029785.19537622
rate_1p3e4_T293,0.875,6.73076923076923e-05,476629238.9473897,476629238.9473897,460.02301909683206,166.87301909683208,440895353.2871623,396805817.9584458,44089535.32871629
rate_1p3e4_T293,1.0,7.692307692307693e-05,466863618.4869334,466863618.4869334,482.49134536076645,189.34134536076647,500258938.24250144,450233044.4182519,50025893.82425042
rate_1p3e4_T293,1.1,8.461538461538463e-05,459128454.53525555,459128454.53525555,500.13460029949306,206.98460029949308,546874197.9258614,492186778.1332771,54687419.79258647
rate_1p3e4_T293,1.2,9.23076923076923e-05,451585701.4286781,451585701.4286781,517.4884594844515,224.3384594844515,592724844.8288692,533452360.34598416,59272484.48288726
rate_1p3e4_T293,1.2999999999999998,9.999999999999999e-05,444214629.94488764,444214629.94488764,534.5593531674065,241.4093531674065,637827868.3254716,574045081.4929264,63782786.83254747
rate_1p3e4_T293,1.4,0.00010769230769230768,437025422.6456662,437025422.6456662,551.3540380233419,258.2040380233419,682201120.2327049,613981008.2094339,68220112.02327062
rate_1e4_T373,0.005,5e-07,176010149.99976408,176010149.99976408,373.1500000000004,3.979039320256561e-13,1.0615109169705997e-06,9.553598252735398e-07,1.0615109169705994e-07
rate_1e4_T373,0.00625,6.25e-07,220019824.2017264,220019824.2017264,373.15000000003437,3.439026841078885e-11,9.547362867756759e-05,8.592626580981082e-05,9.547362867756756e-06
rate_1e4_T373,0.0075,7.5e-07,264034255.62489358,264034255.62489358,373.1500000015403,1.5403429642901756e-09,0.00427485742257994,0.003847371680321946,0.0004274857422579939
rate_1e4_T373,0.00875,8.750000000000001e-07,308054383.10144526,308054383.10144526,373.1500000423057,4.2305714487156365e-08,0.11741023365390638,0.10566921028851572,0.011741023365390636
rate_1e4_T373,0.01,1e-06,352080946.9071957,352080946.9071957,373.15000084769326,8.476932862322428e-07,2.352588304328408,2.1173294738955675,0.23525883043284074
rate_1e4_T373,0.0125,1.25e-06,440115507.10141903,440115507.10141903,373.1501847025581,0.000184702558101435,512.6017737029391,461.34159633264517,51.2601773702939
rate_1e4_T373,0.015,1.5e-06,524384372.03550833,524384372.03550833,373.17001298052185,0.020012980521869395,55541.67424416653,49987.50681974988,5554.167424416652
rate_1e4_T373,0.0175,1.7500000000000002e-06,545506457.8956046,545506457.8956046,373.54480601738186,0.3948060173818817,1095698.2236154245,986128.4012538821,109569.82236154242
rate_1e4_T373,0.02,2e-06,533781711.80656624,533781711.80656624,374.0978303916146,0.947830391614616,2630497.0812440626,2367447.373119657,263049.70812440617
rate_1e4_T373,0.0275,2.75e-06,518002162.3358615,518002162.3358615,375.60715002079957,2.457150020799588,6819285.407046387,6137356.86634175,681928.5407046383
rate_1e4_T373,0.035,3.5000000000000004e-06,510452877.87310404,510452877.87310404,377.04188254977106,3.8918825497710827,10801073.460283428,9720966.114255095,1080107.3460283428
rate_1e4_T373,0.0425,4.25e-06,505641732.26474535,505641732.26474535,378.44551916363724,5.295519163637266,14696561.565084081,13226905.408575699,1469656.1565084085
rate_1e4_T373,0.05,5e-06,502212189.15073746,502212189.15073746,379.8307890296822,6.6807890296822166,18541076.75641476,16686969.080773305,1854107.6756414766
rate_1e4_T373,0.0625,6.25e-06,498130564.6835082,498130564.6835082,382.11389931838784,8.96389931838786,24877352.74390227,22389617.469512057,2487735.2743902253
rate_1e4_T373,0.07500000000000001,7.500000000000001e-06,495313601.5251855,495313601.5251855,384.3752131299624,11.225213129962412,31153137.350250475,28037823.61522544,3115313.7350250455
