horizon_id,time_s,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,wavenumber_interior,boundary_classification
terminal,0.00014,thermal_x0.5,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368632848235368,639622.1230550761,True,interior_finite_band_candidate
terminal,0.00014,thermal_x0.5,constitutive_to_constitutive,-0.0046135828717448,-0.9999893522338521,0.00010135090718695746,6836.508230157148,13.362963543323556,636006.1698667514,True,interior_finite_band_candidate
terminal,0.00014,thermal_x0.5,full_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6779.942862267656,13.362601937153253,635776.2276881377,True,interior_finite_band_candidate
terminal,0.00014,thermal_x0.5,constitutive_to_full,-0.0045768323883706415,-0.9999895211117377,0.00010135090718695746,6832.508575300978,13.363243295748292,636184.1190246128,True,interior_finite_band_candidate
terminal,0.00014,thermal_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
terminal,0.00014,thermal_x0.5,mechanical_to_constitutive,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,8.983786257074508,7972.761966225972,True,interior_finite_band_candidate
terminal,0.00014,thermal_x0.5,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,10.3295749154153,30625.090881913176,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,14.060737024201117,1277910.6840609263,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,constitutive_to_constitutive,-0.004636048565353534,-0.9999892483330476,0.00010135090718695747,6836.690391584933,14.055178188436955,1270826.6960515592,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,full_to_constitutive,-0.004636062467797801,-0.9999892482685944,0.00010135090718695747,6826.670689401413,14.05512551035843,1270759.7531063012,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,constitutive_to_full,-0.004584267876049392,-0.9999894870527561,0.00010135090718695746,6832.949670421998,14.055509794318537,1271248.1795377808,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
terminal,0.00014,dislocation_x2,mechanical_to_constitutive,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,8.982941027820173,7966.026001692432,True,interior_finite_band_candidate
terminal,0.00014,dislocation_x2,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,10.329573402650711,30625.044553395193,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368174946421483,639329.3059705817,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,constitutive_to_constitutive,-0.004594551025745008,-0.9999894398586743,0.0001013509090619021,6836.8536687706555,13.362185806582685,635511.7168031065,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,full_to_constitutive,-0.0046077225706221995,-0.9999893792539528,0.00010135090718762359,6826.514360367037,13.362095218759212,635454.149787364,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368114726702938,639290.8068989319,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,False,compact_domain_boundary_branch_not_a_finite_localization_wavelength
terminal,0.00014,all_constitutive_x2,mechanical_to_constitutive,6.123233995736766e-17,1.0,6.123233995736766e-17,9486.832980505136,8.289793872791652,3983.013102538211,True,interior_finite_band_candidate
terminal,0.00014,all_constitutive_x2,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,True,interior_finite_band_candidate
