horizon_id,norm_id,selector_id,n1,n2,n3,k_m_inv,reference_log_gain,reference_gain,previous_v3_reference_log_gain,direct_reference_log_gain_improvement,local_stationarity_pass,wavenumber_interior
terminal,dislocation_x2,full_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,14.060553845896854,1277676.6199872042,14.05512551035843,0.005428335538423923,True,True
terminal,dislocation_x2,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,14.060737024201117,1277910.6840609263,14.060737024201117,0.0,True,True
terminal,dislocation_x2,mechanical_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6592.7375668461555,9.874566038436118,19429.854199082845,8.982941027820173,0.8916250106159449,True,True
terminal,dislocation_x2,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,9.583251636746697,0.0,True,False
terminal,mechanical_x0.5,constitutive_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367382415788443,638822.8186408723,13.362185806582685,0.005196609205757596,True,True
terminal,mechanical_x0.5,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368114726702938,639290.8068989319,13.368114726702938,0.0,True,True
terminal,mechanical_x0.5,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,9.636462544540082,15313.078475113085,9.636462544540082,0.0,True,True
terminal,mechanical_x0.5,full_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.367442635505968,638861.289528901,13.362095218759212,0.00534741674675665,True,True
terminal,mechanical_x0.5,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368174946421483,639329.3059705817,13.368174946421483,0.0,True,True
terminal,mechanical_x0.5,mechanical_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6592.7375668461555,9.18141888242762,9714.927338056943,8.289793872791652,0.8916250096359679,True,True
terminal,mechanical_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,9.583251636746697,0.0,True,False
terminal,thermal_x0.5,constitutive_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368209133113035,639351.1628979712,13.362963543323556,0.005245589789479865,True,True
terminal,thermal_x0.5,constitutive_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368391996248064,639468.0873462629,13.363243295748292,0.005148700499772119,True,True
terminal,thermal_x0.5,constitutive_to_temperature,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,10.3295749154153,30625.090881913176,10.3295749154153,0.0,True,True
terminal,thermal_x0.5,full_to_constitutive,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368449985099328,639505.1704412607,13.362601937153253,0.005848047946075852,True,True
terminal,thermal_x0.5,full_to_full,0.004411166337565115,0.9999902707584265,1.7696377058745981e-07,7724.0128359970095,13.368632848235368,639622.1230550761,13.368632848235368,0.0,True,True
terminal,thermal_x0.5,mechanical_to_constitutive,-0.004614456421146296,-0.9999893482032352,0.00010135090718695746,6592.7375668461555,9.87543538658633,19446.752851231424,8.983786257074508,0.8916491295118227,True,True
terminal,thermal_x0.5,mechanical_to_mechanical,0.0,0.0,1.0,299999.9999999999,9.583251636746697,14519.554945122914,9.583251636746697,0.0,True,False
