branch_id,horizon_id,time_s,norm_id,selector_id,input_dimension,output_dimension,log_gain
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,mechanical_to_constitutive,6,63,-1.6627371007687013
onset_y,near_onset,1.4375e-06,plastic_kinematic_x2,constitutive_to_temperature,63,1,-0.0220012758353388
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,full_to_full,69,69,7.571526437714112
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_constitutive,63,63,0.6213909671573791
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,full_to_constitutive,69,63,0.6839466087924272
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_full,63,69,1.1639819382294592
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,mechanical_to_constitutive,6,63,-0.27761240559067246
onset_y,near_onset,1.4375e-06,all_constitutive_x0.5,constitutive_to_temperature,63,1,-0.02200128119544356
onset_y,near_onset,1.4375e-06,all_constitutive_x2,full_to_full,69,69,7.571531570989158
onset_y,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_constitutive,63,63,0.6213909671573791
onset_y,near_onset,1.4375e-06,all_constitutive_x2,full_to_constitutive,69,63,0.6254027228601126
onset_y,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_full,63,69,2.4880707777459934
onset_y,near_onset,1.4375e-06,all_constitutive_x2,mechanical_to_mechanical,6,6,7.57152609535827
onset_y,near_onset,1.4375e-06,all_constitutive_x2,mechanical_to_constitutive,6,63,-1.6639067667105631
onset_y,near_onset,1.4375e-06,all_constitutive_x2,constitutive_to_temperature,63,1,-0.02200128119544356
onset_y,terminal,0.00014,baseline,full_to_full,69,69,9.93940351898673
onset_y,terminal,0.00014,baseline,constitutive_to_constitutive,63,63,9.939399605084102
onset_y,terminal,0.00014,baseline,full_to_constitutive,69,63,9.939399659411588
onset_y,terminal,0.00014,baseline,constitutive_to_full,63,69,9.939403464646414
onset_y,terminal,0.00014,baseline,mechanical_to_mechanical,6,6,6.834481708569259
onset_y,terminal,0.00014,baseline,mechanical_to_constitutive,6,63,1.9218554682729434
onset_y,terminal,0.00014,baseline,constitutive_to_temperature,63,1,4.380974579652316
onset_y,terminal,0.00014,mechanical_x0.5,full_to_full,69,69,9.939415056747821
onset_y,terminal,0.00014,mechanical_x0.5,constitutive_to_constitutive,63,63,9.939399605084102
